pct,n,recoveries,precision,recall,lift
1,76,10,0.13157894736842105,0.034129692832764506,3.4556313993174057
2,153,15,0.09803921568627451,0.051194539249146756,2.5747841798835576
5,384,27,0.0703125,0.09215017064846416,1.8466030290102389
10,769,46,0.05981794538361508,0.15699658703071673,1.5709866543580822
15,1154,67,0.05805892547660312,0.22866894197952217,1.5247898687456007
20,1539,87,0.056530214424951264,0.29692832764505117,1.4846416382252559
25,1923,103,0.053562142485699425,0.3515358361774744,1.406691762551048
30,2308,117,0.050693240901213174,0.3993174061433447,1.3313463779345918
40,3078,146,0.04743339831059129,0.49829351535836175,1.2457337883959043
50,3847,180,0.04678970626462178,0.6143344709897611,1.228828633809777
